StructureID,StructureName,Longitude,Latitude
ANN001,Allain Creek Bridge,-65.517874,44.738435
ANN002,Anderson Brook Bridge,-65.39583,44.777457
ANN003,Bloody Creek Bridge,-65.310188,44.82242
ANN005,Bruce Multiplate,-65.341896,44.80871
ANN006,Chute Bridge,-65.600715,44.683771
ANN007,Clementsport #1 Bridge,-65.604185,44.660682
ANN008,Foster Brook Bridge,-65.246174,44.855196
ANN009,Morton Hollow Bridge,-65.055732,44.951854
ANN010,Round Hill Bridge,-65.404293,44.772939
ANN011,Sawmill Creek Bridge,-65.465927,44.753652
ANN012,Shearer Bridge,-65.218654,44.868428
ANN013,Tupperville Bridge,-65.360367,44.803006
ANN014,Victoria Bridge,-65.679781,44.615752
ANN015,Vroom Brook Bridge,-65.091574,44.931454
ANN016,Walker Bridge,-64.964614,44.979752
ANN017,Wiswall Bridge,-64.989981,44.965902
ANN018,Lambs Brook Bridge,-65.462479,44.665845
ANN019,Maitland Bridge,-65.200869,44.446297
ANN023,Mason Meadow Bridge,-64.838394,44.629682
ANN024,Shannon Bridge,-65.002288,44.722819
ANN025,Anderson Bridge,-65.570711,44.794644
ANN027,Armstrong Bridge,-64.97702,44.919685
ANN028,Bear River Bridge,-65.639769,44.575466
ANN029,Barteaux Bridge,-65.142337,44.852763
ANN031,Bishop Brook Bridge,-65.41354,44.771534
ANN032,Both Culvert Bridge,-65.310448,44.839801
ANN033,Black River Bridge,-64.948888,44.948023
ANN034,Brickton Bridge,-65.121884,44.906429
ANN035,Bayard Bridge,-65.029455,44.949098
ANN036,Chipman Bridge,-65.081914,44.906046
ANN037,Chute Bridge,-65.333371,44.907146
ANN038,Claybank Bridge,-65.204118,44.977999
ANN039,Clementsvale Bridge,-65.561008,44.618903
ANN040,Crocker Bridge,-64.985113,44.951932
ANN041,Daniels Bridge,-65.25317,44.84617
ANN042,Delancey Bridge,-65.098953,44.908384
ANN043,Delong Bridge,-65.077892,44.464941
ANN044,Dunn Bridge,-65.560885,44.577182
ANN045,Eager Bridge,-65.038381,44.930159
ANN046,East Guinea Bridge,-65.59101,44.656317
ANN047,Elbow Bridge,-65.204751,44.7586
ANN048,Eri Bridge,-64.955478,44.932283
ANN049,Falkland Bridge,-64.893176,44.661953
ANN050,Forty Seven Bridge,-64.8594,44.693639
ANN051,Foster Bridge,-65.152697,45.005355
ANN052,Franks #1 Bridge,-65.135476,44.889575
ANN053,Generals Bridge,-65.488485,44.71898
ANN054,Gibsons Bridge,-65.319461,44.712443
ANN055,Halfway Bridge,-64.96809,44.593899
ANN057,Sam Harris Bridge,-65.603221,44.559202
ANN058,Hastings Bridge,-64.865525,44.64471
ANN059,Phinney Cove Bridge,-65.395997,44.884214
ANN060,Inlet Bridge,-64.880586,44.626378
ANN061,Kelly Bridge,-65.059122,44.722024
ANN062,Lawrencetown Bridge,-65.158021,44.88079
ANN064,McCauls Bridge,-65.632223,44.765528
ANN065,McEwan Bridge,-65.624391,44.56399
ANN068,Melvern Square Bridge,-64.992902,44.985368
ANN071,Mink Brook Bridge,-65.514206,44.546829
ANN072,Morse Brook Bridge,-65.142931,44.93164
ANN073,Morses Bridge,-65.205856,44.863919
ANN074,Mosher Bridge,-65.114903,45.004177
ANN075,Mosher Brook Bridge,-65.199994,44.974546
ANN077,Nictaux Falls Bridge,-65.030533,44.908945
ANN078,Paradise Bridge,-65.206408,44.867482
ANN079,Parker's Cove Bridge,-65.537964,44.812137
ANN080,Parker Meadow Bridge,-65.05506,44.878348
ANN081,Phinney Bridge,-65.001497,44.953379
ANN082,Phinney Mills Bridge,-65.000442,44.952016
ANN083,Poole Brook Bridge,-65.303601,44.916272
ANN084,Powerlot Bridge,-65.584474,44.656505
ANN085,Rice's Mill Bridge,-65.636146,44.56847
ANN086,Rogers First Bridge,-65.633125,44.566353
ANN087,Rogers Second Bridge,-65.631705,44.566506
ANN088,Sabeans Brook Multiplate Bridge,-65.277095,44.943663
ANN089,Sixty Bridge,-64.827338,44.706325
ANN091,Spinney (Upper) Bridge,-64.949104,44.924335
ANN092,St. Croix Bridge,-65.280653,44.929461
ANN093,Mill #2 Bridge,-65.494252,44.727062
ANN094,Rice Bridge,-65.643534,44.594388
ANN095,Torbrook Centre Bridge,-64.977842,44.914173
ANN096,Whitman Bridge,-64.989008,44.907652
ANN097,Upper Black River Bridge,-64.991615,44.879596
ANN098,Smith Culvert Bridge,-65.441246,44.864815
ANN100,Wildcat Bridge,-64.973641,44.58916
ANN102,Wilkins Bridge,-65.263763,44.947218
ANN104,Wright Bridge,-65.36844,44.71375
ANN106,Mill Lake #1 Bridge,-65.573881,44.529115
ANN107,Mill Lake #2 Bridge,-65.574484,44.527219
ANN109,Deep Brook Bridge,-65.647368,44.640405
ANN110,Kennedy Bridge,-65.599389,44.645885
ANN112,Cornwallis Resevoir Bridge,-65.557483,44.613152
ANN113,Quarry Bridge,-65.563081,44.630205
ANN118,Clemensport #3 Bridge,-65.604799,44.660463
ANN120,Ryerson West Bridge,-65.563012,44.704378
ANN121,Ryerson East Bridge,-65.5623,44.704729
ANN124,Dixon Bridge,-65.625959,44.713341
ANN125,Thorne Cove Bridge,-65.677426,44.701789
ANN126,McGarth Bridge,-65.748998,44.69933
ANN127,Hains Bridge,-65.754562,44.678352
ANN132,Steve Robinson Bridge,-65.488362,44.83323
ANN133,Lake Brook Bridge,-65.483138,44.834444
ANN134,Hogan Bridge,-65.45728,44.856961
ANN136,Glebe #1 Bridge,-65.411173,44.879663
ANN137,Gaskill Bridge,-65.354578,44.899787
ANN140,Inglewood Bridge,-65.294201,44.850337
ANN141,Beaconsfield Bridge,-65.36052,44.834954
ANN142,Saunders Brook Bridge,-65.259486,44.851747
ANN143,Leonard Bridge,-65.200416,44.870713
ANN144,Oaks Hollow Bridge,-65.147916,44.890969
ANN145,McEwan Bridge,-65.130775,44.906677
ANN146,Burbidge Bridge,-65.1102,44.916867
ANN148,Parker Brook Bridge,-65.035636,44.954926
ANN149,Allison Marshall Bridge,-65.070184,44.973177
ANN150,McNeily Bridge,-65.074621,45.023652
ANN151,Stronach Bridge,-65.029555,45.050659
ANN153,Phinney Bridge,-65.157607,44.874746
ANN154,Carleton Bridge,-65.164795,44.873922
ANN156,Button Brook Bridge,-65.274731,44.833923
ANN161,Canal Bridge,-65.498019,44.705889
ANN163,Eight Mile Brook Bridge,-65.382898,44.708191
ANN165,Beeler Mill Creek Bridge,-65.234841,44.748127
ANN166,Milbury Bridge,-65.192802,44.755895
ANN167,Durling Mill Bridge,-65.143348,44.704956
ANN169,Veinot Bridge,-65.041897,44.748178
ANN170,Waterloo Bridge,-64.973186,44.713251
ANN171,Ten Mile River Bridge,-65.382075,44.654754
ANN172,McLellan Lake Bridge,-65.398159,44.571549
ANN173,Pike Lake Bridge,-65.387007,44.561563
ANN174,Lake Monroe Bridge,-65.349092,44.531655
ANN175,Thibeau Bog Bridge,-65.286581,44.516589
ANN177,Minard Lake Inlet Bridge,-65.171089,44.436331
ANN180,Beaver Brook Bridge,-65.496545,44.564619
ANN181,East Moose River Bridge,-65.543192,44.640264
ANN182,Saunders Brook Bridge,-65.508606,44.678962
ANN183,Deep Brook West  Bridge,-65.627709,44.627893
ANN184,Allain Creek Crossing Bridge,-65.49483,44.692001
ANN185,Dodge Road U/P Bridge on 101,-65.004563,44.972625
ANN186,Stronach Mtn Rd U/P Bridge on 101,-64.980072,44.979023
ANN187,Brooklyn Street U/P Bridge on 101,-65.09117,44.949451
ANN188,Annapolis River Bridge,-65.265843,44.844177
ANN189,Waldec Line Rd O/P Bridge on 101,-65.633359,44.628308
ANN190,Clementsport Rd U/P Bridge on 101,-65.565638,44.633379
ANN191,Victoria Road U/P Bridge on 101,-65.055331,44.963049
ANN192,Elliott Road O/P Bridge on 101,-65.17324,44.901651
ANN193,Gates MTN Rd U/P Bridge on 101,-65.078378,44.959109
ANN194,Allain Creek Canal Bridge,-65.498743,44.689744
ANN195,Purdy Road O/P Bridge on 101,-65.65165,44.628316
ANN196,Mary Jane Riley U/P Bridge on 101,-65.61126,44.626845
ANN197,Shaw Road O/P Bridge on 101,-65.578576,44.631507
ANN198,Powerlot Road U/P Bridge on 101,-65.547711,44.638445
ANN199,Clementsvale Road O/P Bridge on 101,-65.51637,44.664453
ANN200,Mt. Hanley Rd O/P Bridge on 101,-65.131149,44.920302
ANN201,Leonard Road O/P Bridge on 101,-65.210422,44.884677
ANN202,Messenger Road O/P Bridge on 101,-65.245498,44.873628
ANN203,Trunk #1 O/P Bridge on 101,-65.268664,44.847127
ANN204,Route 201 O/P Bridge on 101,-65.263819,44.841902
ANN205,Morse Road U/P Bridge on 101,-65.286519,44.825404
ANN206,Bear River East O/P Bridge on 101,-65.674393,44.623651
ANN207,DAR O/P Bridge on 101,-65.267376,44.845757
ANN208,Springfield Bridge,-64.860209,44.631007
ANN209,Bank Bridge,-65.638875,44.576237
ANN210,Troop Bridge,-65.500709,44.762957
ANN211,Walker Brook Bridge,-65.356901,44.816551
